digit,percentage,type,precision,recall,f1-score
,,macro,0.9565,0.9554,0.9556
,,weighted,0.9566,0.9559,0.9559
,,macro,0.9671,0.9663,0.9665
,,weighted,0.9672,0.9668,0.9668
0,2,macro,0.9724,0.972,0.972
0,2,weighted,0.9726,0.9722,0.9722
1,2,macro,0.9737,0.9741,0.9738
1,2,weighted,0.9741,0.974,0.974
2,2,macro,0.9736,0.9735,0.9735
2,2,weighted,0.9738,0.9736,0.9736
3,2,macro,0.9717,0.9718,0.9716
3,2,weighted,0.9721,0.9718,0.9718
4,2,macro,0.9747,0.9748,0.9747
4,2,weighted,0.9749,0.9748,0.9748
5,2,macro,0.972,0.9713,0.9714
5,2,weighted,0.9722,0.9716,0.9717
6,2,macro,0.9755,0.9752,0.9753
6,2,weighted,0.9757,0.9756,0.9756
7,2,macro,0.9748,0.9746,0.9747
7,2,weighted,0.9748,0.9748,0.9748
8,2,macro,0.9763,0.976,0.9761
8,2,weighted,0.9764,0.9763,0.9763
9,2,macro,0.9757,0.9757,0.9756
9,2,weighted,0.9759,0.9759,0.9759
0,5,macro,0.9767,0.9766,0.9766
0,5,weighted,0.9769,0.9768,0.9768
1,5,macro,0.9764,0.9761,0.9762
1,5,weighted,0.9765,0.9764,0.9764
2,5,macro,0.9763,0.9761,0.9761
2,5,weighted,0.9764,0.9763,0.9763
3,5,macro,0.9757,0.9755,0.9756
3,5,weighted,0.9759,0.9758,0.9758
4,5,macro,0.9748,0.9747,0.9747
4,5,weighted,0.9749,0.9749,0.9749
5,5,macro,0.9759,0.9754,0.9756
5,5,weighted,0.9759,0.9758,0.9758
6,5,macro,0.9745,0.9745,0.9744
6,5,weighted,0.9747,0.9746,0.9746
7,5,macro,0.9744,0.9741,0.9742
7,5,weighted,0.9745,0.9744,0.9744
8,5,macro,0.9747,0.9746,0.9746
8,5,weighted,0.9749,0.9748,0.9748
9,5,macro,0.9722,0.9717,0.9718
9,5,weighted,0.9724,0.9721,0.9721
0,8,macro,0.9732,0.9729,0.973
0,8,weighted,0.9733,0.9732,0.9732
1,8,macro,0.9743,0.9743,0.9742
1,8,weighted,0.9745,0.9744,0.9744
2,8,macro,0.9704,0.9703,0.9702
2,8,weighted,0.9708,0.9705,0.9705
3,8,macro,0.9731,0.973,0.973
3,8,weighted,0.9733,0.9732,0.9732
4,8,macro,0.9742,0.9738,0.9739
4,8,weighted,0.9743,0.9741,0.9741
5,8,macro,0.9722,0.9718,0.9719
5,8,weighted,0.9723,0.9721,0.9721
6,8,macro,0.9718,0.9716,0.9716
6,8,weighted,0.972,0.9719,0.9719
7,8,macro,0.9713,0.9713,0.9712
7,8,weighted,0.9717,0.9714,0.9714
8,8,macro,0.9716,0.9715,0.9715
8,8,weighted,0.972,0.9717,0.9718
9,8,macro,0.9722,0.9721,0.9721
9,8,weighted,0.9724,0.9723,0.9723
0,15,macro,0.9711,0.9711,0.9711
0,15,weighted,0.9713,0.9713,0.9713
1,15,macro,0.9701,0.9701,0.97
1,15,weighted,0.9705,0.9703,0.9703
2,15,macro,0.9713,0.9708,0.971
2,15,weighted,0.9713,0.9712,0.9712
3,15,macro,0.9705,0.9706,0.9705
3,15,weighted,0.9709,0.9708,0.9708
4,15,macro,0.9701,0.9699,0.9699
4,15,weighted,0.9704,0.9703,0.9703
5,15,macro,0.97,0.9697,0.9697
5,15,weighted,0.9703,0.97,0.97
6,15,macro,0.9682,0.9681,0.968
6,15,weighted,0.9686,0.9683,0.9683
7,15,macro,0.97,0.9699,0.9699
7,15,weighted,0.9703,0.9702,0.9702
8,15,macro,0.9698,0.9693,0.9694
8,15,weighted,0.9701,0.9697,0.9698
9,15,macro,0.9701,0.97,0.97
9,15,weighted,0.9705,0.9703,0.9703
0,20,macro,0.9702,0.97,0.97
0,20,weighted,0.9704,0.96730.9703,0.9703
1,20,macro,0.9686,0.9684,0.9684
1,20,weighted,0.9689,0.9687,0.9687
2,20,macro,0.9706,0.9702,0.9703
2,20,weighted,0.9707,0.9706,0.9706
3,20,macro,0.968,0.967,0.9673
3,20,weighted,0.9681,0.9676,0.9676
4,20,macro,0.9698,0.9696,0.9696
4,20,weighted,0.9702,0.9699,0.9699
5,20,macro,0.9678,0.968,0.9677
5,20,weighted,0.9685,0.9681,0.9681
6,20,macro,0.9676,0.9674,0.9675
6,20,weighted,0.968,0.9679,0.9679
7,20,macro,0.9707,0.9701,0.9704
7,20,weighted,0.9709,0.9707,0.9707
8,20,macro,0.9673,0.9668,0.9669
8,20,weighted,0.9677,0.9672,0.9673
9,20,macro,0.969,0.9685,0.9686
9,20,weighted,0.9692,0.9689,0.969
0,50,macro,0.9674,0.9669,0.9671
0,50,weighted,0.9677,0.9674,0.9674
1,50,macro,0.9678,0.9675,0.9676
1,50,weighted,0.968,0.9678,0.9678
2,50,macro,0.9681,0.9674,0.9677
2,50,weighted,0.9682,0.968,0.968
3,50,macro,0.9708,0.9703,0.9704
3,50,weighted,0.9709,0.9707,0.9707
4,50,macro,0.9668,0.9665,0.9665
4,50,weighted,0.9672,0.9668,0.9668
5,50,macro,0.9656,0.9658,0.9656
5,50,weighted,0.9663,0.966,0.9661
6,50,macro,0.9691,0.9687,0.9688
6,50,weighted,0.9694,0.9691,0.9692
7,50,macro,0.9688,0.9682,0.9684
7,50,weighted,0.9691,0.9688,0.9688
8,50,macro,0.9657,0.9638,0.9641
8,50,weighted,0.9662,0.9642,0.9646
9,50,macro,0.9668,0.966,0.9662
9,50,weighted,0.9669,0.9664,0.9665
0,80,macro,0.9662,0.9661,0.9661
0,80,weighted,0.9666,0.9664,0.9664
1,80,macro,0.9638,0.9632,0.9634
1,80,weighted,0.9639,0.9636,0.9636
2,80,macro,0.965,0.9641,0.9643
2,80,weighted,0.9653,0.9645,0.9646
3,80,macro,0.9613,0.9587,0.9594
3,80,weighted,0.9613,0.9594,0.9597
4,80,macro,0.9673,0.967,0.967
4,80,weighted,0.9676,0.9673,0.9673
5,80,macro,0.9635,0.9636,0.9634
5,80,weighted,0.9642,0.9639,0.9639
6,80,macro,0.9651,0.9648,0.9648
6,80,weighted,0.9654,0.9651,0.9651
7,80,macro,0.9617,0.9611,0.9611
7,80,weighted,0.9622,0.9613,0.9614
8,80,macro,0.9589,0.9561,0.9565
8,80,weighted,0.9596,0.9564,0.9571
9,80,macro,0.955,0.9514,0.952
9,80,weighted,0.9553,0.9517,0.9523
